,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
135,qiskit,50.0,4.0,default/cnot_pr/i_19_cnot_pr_0.1,67.0,27.0,17.0,84.0,0.1,0.0,-0.017553091049194336,4.0
136,tpar,50.0,4.0,default/cnot_pr/i_19_cnot_pr_0.1,53.0,28.0,7.0,60.0,0.1,0.0,-0.13221526145935059,12.0
137,voqc,50.0,4.0,default/cnot_pr/i_19_cnot_pr_0.1,49.0,22.0,7.0,56.0,0.1,0.0,-0.09848880767822266,4.0
138,qfast,50.0,4.0,default/cnot_pr/i_19_cnot_pr_0.1,36.0,41.0,48.0,84.0,0.1,0.0,-4.74083948135376,12.0
139,pyzx,50.0,4.0,default/cnot_pr/i_19_cnot_pr_0.1,33.0,21.0,5.0,38.0,0.1,0.0,-0.0597224235534668,16.0
140,default,50.0,4.0,default/cnot_pr/i_20_cnot_pr_0.1,67.0,28.0,15.0,82.0,0.1,0.0,-7.152557373046875e-07,5.0
141,tket,50.0,4.0,default/cnot_pr/i_20_cnot_pr_0.1,30.0,16.0,14.0,44.0,0.1,0.0,-0.04998159408569336,5.0
142,qiskit,50.0,4.0,default/cnot_pr/i_20_cnot_pr_0.1,67.0,28.0,15.0,82.0,0.1,0.0,-0.018200159072875977,5.0
143,tpar,50.0,4.0,default/cnot_pr/i_20_cnot_pr_0.1,79.0,50.0,13.0,92.0,0.1,0.0,-0.1403348445892334,29.0
144,voqc,50.0,4.0,default/cnot_pr/i_20_cnot_pr_0.1,76.0,40.0,13.0,89.0,0.1,0.0,-0.10698246955871582,5.0
145,qfast,50.0,4.0,default/cnot_pr/i_20_cnot_pr_0.1,24.0,31.0,34.0,58.0,0.1,0.0,-2.631635904312134,8.0
146,pyzx,50.0,4.0,default/cnot_pr/i_20_cnot_pr_0.1,38.0,27.0,13.0,51.0,0.1,0.0,-0.06233787536621094,17.0
147,default,50.0,4.0,default/cnot_pr/i_21_cnot_pr_0.1,74.0,30.0,16.0,90.0,0.1,0.0,-4.76837158203125e-07,5.0
148,tket,50.0,4.0,default/cnot_pr/i_21_cnot_pr_0.1,44.0,28.0,6.0,50.0,0.1,0.0,-0.0514218807220459,4.0
149,qiskit,50.0,4.0,default/cnot_pr/i_21_cnot_pr_0.1,74.0,30.0,16.0,90.0,0.1,0.0,-0.018431425094604492,5.0
150,tpar,50.0,4.0,default/cnot_pr/i_21_cnot_pr_0.1,57.0,32.0,8.0,65.0,0.1,0.0,-0.13227081298828125,12.0
151,voqc,50.0,4.0,default/cnot_pr/i_21_cnot_pr_0.1,94.0,46.0,8.0,102.0,0.1,0.0,-0.10891246795654297,5.0
152,qfast,50.0,4.0,default/cnot_pr/i_21_cnot_pr_0.1,18.0,22.0,24.0,42.0,0.1,0.0,-0.7746620178222656,6.0
153,pyzx,50.0,4.0,default/cnot_pr/i_21_cnot_pr_0.1,30.0,24.0,6.0,36.0,0.1,0.0,-0.06147933006286621,9.0
154,default,50.0,4.0,default/cnot_pr/i_22_cnot_pr_0.1,60.0,28.0,20.0,80.0,0.1,0.0,-7.152557373046875e-07,3.0
155,tket,50.0,4.0,default/cnot_pr/i_22_cnot_pr_0.1,18.0,15.0,4.0,22.0,0.1,0.0,-0.046540021896362305,3.0
156,qiskit,50.0,4.0,default/cnot_pr/i_22_cnot_pr_0.1,60.0,28.0,20.0,80.0,0.1,0.0,-0.01537942886352539,3.0
157,tpar,50.0,4.0,default/cnot_pr/i_22_cnot_pr_0.1,46.0,22.0,4.0,50.0,0.1,0.0,-0.06708478927612305,9.0
158,voqc,50.0,4.0,default/cnot_pr/i_22_cnot_pr_0.1,43.0,23.0,4.0,47.0,0.1,0.0,-0.15570783615112305,3.0
159,qfast,50.0,4.0,default/cnot_pr/i_22_cnot_pr_0.1,27.0,28.0,37.0,64.0,0.1,0.0,-2.4078054428100586,9.0
160,pyzx,50.0,4.0,default/cnot_pr/i_22_cnot_pr_0.1,21.0,12.0,4.0,25.0,0.1,0.0,-0.05552506446838379,3.0
161,default,50.0,4.0,default/cnot_pr/i_23_cnot_pr_0.1,57.0,25.0,19.0,76.0,0.1,0.0,-7.152557373046875e-07,2.0
162,tket,50.0,4.0,default/cnot_pr/i_23_cnot_pr_0.1,11.0,7.0,5.0,16.0,0.1,0.0,-0.04531526565551758,2.0
163,qiskit,50.0,4.0,default/cnot_pr/i_23_cnot_pr_0.1,57.0,25.0,19.0,76.0,0.1,0.0,-0.015079736709594727,2.0
164,tpar,50.0,4.0,default/cnot_pr/i_23_cnot_pr_0.1,42.0,15.0,5.0,47.0,0.1,0.0,-0.06473064422607422,2.0
165,voqc,50.0,4.0,default/cnot_pr/i_23_cnot_pr_0.1,61.0,25.0,5.0,66.0,0.1,0.0,-0.15903735160827637,2.0
166,qfast,50.0,4.0,default/cnot_pr/i_23_cnot_pr_0.1,12.0,23.0,18.0,30.0,0.1,0.0,-0.851872444152832,4.0
167,pyzx,50.0,4.0,default/cnot_pr/i_23_cnot_pr_0.1,24.0,15.0,5.0,29.0,0.1,0.0,-0.05437731742858887,7.0
168,default,50.0,4.0,default/cnot_pr/i_24_cnot_pr_0.1,58.0,29.0,16.0,74.0,0.1,0.0,-7.152557373046875e-07,3.0
169,tket,50.0,4.0,default/cnot_pr/i_24_cnot_pr_0.1,35.0,16.0,6.0,41.0,0.1,0.0,-0.04932427406311035,3.0
170,qiskit,50.0,4.0,default/cnot_pr/i_24_cnot_pr_0.1,58.0,29.0,16.0,74.0,0.1,0.0,-0.016237497329711914,3.0
171,tpar,50.0,4.0,default/cnot_pr/i_24_cnot_pr_0.1,42.0,20.0,6.0,48.0,0.1,0.0,-0.06524109840393066,7.0
172,voqc,50.0,4.0,default/cnot_pr/i_24_cnot_pr_0.1,71.0,28.0,6.0,77.0,0.1,0.0,-0.1614537239074707,3.0
173,qfast,50.0,4.0,default/cnot_pr/i_24_cnot_pr_0.1,30.0,43.0,46.0,76.0,0.1,0.0,-9.733677864074707,10.0
174,pyzx,50.0,4.0,default/cnot_pr/i_24_cnot_pr_0.1,32.0,20.0,6.0,38.0,0.1,0.0,-0.05838942527770996,14.0
175,default,50.0,4.0,default/cnot_pr/i_25_cnot_pr_0.1,51.0,24.0,21.0,72.0,0.1,0.0,-4.76837158203125e-07,3.0
176,tket,50.0,4.0,default/cnot_pr/i_25_cnot_pr_0.1,20.0,9.0,5.0,25.0,0.1,0.0,-0.04830455780029297,2.0
177,qiskit,50.0,4.0,default/cnot_pr/i_25_cnot_pr_0.1,51.0,24.0,21.0,72.0,0.1,0.0,-0.015083074569702148,3.0
