,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
103,qfast,50.0,4.0,default/gate_count/i_14_cnt_50,45.0,70.0,63.0,108.0,0.0,0.0,-9.646032333374023,15.0
104,pyzx,50.0,4.0,default/gate_count/i_14_cnt_50,39.0,26.0,4.0,43.0,0.0,0.0,-0.06301498413085938,18.0
105,default,50.0,4.0,default/gate_count/i_15_cnt_50,72.0,44.0,14.0,86.0,0.0,0.0,-7.152557373046875e-07,10.0
106,tket,50.0,4.0,default/gate_count/i_15_cnt_50,33.0,18.0,9.0,42.0,0.0,0.0,-0.05051445960998535,5.0
107,qiskit,50.0,4.0,default/gate_count/i_15_cnt_50,70.0,41.0,14.0,84.0,0.0,0.0,-0.01766347885131836,8.0
108,tpar,50.0,4.0,default/gate_count/i_15_cnt_50,46.0,31.0,6.0,52.0,0.0,0.0,-0.06521034240722656,11.0
109,voqc,50.0,4.0,default/gate_count/i_15_cnt_50,76.0,44.0,6.0,82.0,0.0,0.0,-0.10478949546813965,8.0
110,qfast,50.0,4.0,default/gate_count/i_15_cnt_50,30.0,50.0,42.0,72.0,0.0,0.0,-4.547260284423828,10.0
111,pyzx,50.0,4.0,default/gate_count/i_15_cnt_50,35.0,22.0,6.0,41.0,0.0,0.0,-0.060965776443481445,14.0
112,default,50.0,4.0,default/gate_count/i_16_cnt_50,59.0,36.0,9.0,68.0,0.0,0.0,-7.152557373046875e-07,18.0
113,tket,50.0,4.0,default/gate_count/i_16_cnt_50,44.0,26.0,7.0,51.0,0.0,0.0,-0.054163217544555664,11.0
114,qiskit,50.0,4.0,default/gate_count/i_16_cnt_50,57.0,36.0,9.0,66.0,0.0,0.0,-0.02083754539489746,16.0
115,tpar,50.0,4.0,default/gate_count/i_16_cnt_50,67.0,39.0,7.0,74.0,0.0,0.0,-0.0744473934173584,31.0
116,voqc,50.0,4.0,default/gate_count/i_16_cnt_50,70.0,46.0,7.0,77.0,0.0,0.0,-0.10895442962646484,14.0
117,qfast,50.0,4.0,default/gate_count/i_16_cnt_50,48.0,68.0,66.0,114.0,0.0,0.0,-8.478726625442505,16.0
118,pyzx,50.0,4.0,default/gate_count/i_16_cnt_50,35.0,28.0,7.0,42.0,0.0,0.0,-0.0650641918182373,18.0
119,default,50.0,4.0,default/gate_count/i_17_cnt_50,67.0,35.0,11.0,78.0,0.0,0.0,-7.152557373046875e-07,14.0
120,tket,50.0,4.0,default/gate_count/i_17_cnt_50,59.0,32.0,5.0,64.0,0.0,0.0,-0.052886962890625,14.0
121,qiskit,50.0,4.0,default/gate_count/i_17_cnt_50,67.0,35.0,11.0,78.0,0.0,0.0,-0.021990537643432617,14.0
122,tpar,50.0,4.0,default/gate_count/i_17_cnt_50,92.0,54.0,5.0,97.0,0.0,0.0,-0.08021664619445801,43.0
123,voqc,50.0,4.0,default/gate_count/i_17_cnt_50,94.0,51.0,5.0,99.0,0.0,0.0,-0.11337161064147949,14.0
124,qfast,50.0,4.0,default/gate_count/i_17_cnt_50,51.0,66.0,69.0,120.0,0.0,0.0,-12.894224405288696,17.0
125,pyzx,50.0,4.0,default/gate_count/i_17_cnt_50,36.0,26.0,5.0,41.0,0.0,0.0,-0.06512761116027832,13.0
