,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
146,pyzx,50.0,3.0,default/qubits/i_20_num_qubits_3,28.0,26.0,3.0,31.0,0.0,0.0,-0.057852745056152344,10.0
147,default,50.0,3.0,default/qubits/i_21_num_qubits_3,60.0,43.0,12.0,72.0,0.0,0.0,-4.76837158203125e-07,17.0
148,tket,50.0,3.0,default/qubits/i_21_num_qubits_3,42.0,32.0,11.0,53.0,0.0,0.0,-0.052097320556640625,9.0
149,qiskit,50.0,3.0,default/qubits/i_21_num_qubits_3,54.0,38.0,12.0,66.0,0.0,0.0,-0.018085479736328125,11.0
150,tpar,50.0,3.0,default/qubits/i_21_num_qubits_3,55.0,47.0,10.0,65.0,0.0,0.0,-0.13381290435791016,20.0
151,voqc,50.0,3.0,default/qubits/i_21_num_qubits_3,80.0,52.0,10.0,90.0,0.0,0.0,-0.1096348762512207,11.0
152,qfast,50.0,3.0,default/qubits/i_21_num_qubits_3,27.0,37.0,30.0,57.0,0.0,0.0,-1.549931526184082,9.0
153,pyzx,50.0,3.0,default/qubits/i_21_num_qubits_3,36.0,37.0,8.0,44.0,0.0,0.0,-0.06571602821350098,16.0
154,default,50.0,3.0,default/qubits/i_22_num_qubits_3,50.0,44.0,14.0,64.0,0.0,0.0,-4.76837158203125e-07,18.0
155,tket,50.0,3.0,default/qubits/i_22_num_qubits_3,42.0,38.0,8.0,50.0,0.0,0.0,-0.05373382568359375,8.0
156,qiskit,50.0,3.0,default/qubits/i_22_num_qubits_3,46.0,41.0,14.0,60.0,0.0,0.0,-0.019290924072265625,14.0
157,tpar,50.0,3.0,default/qubits/i_22_num_qubits_3,47.0,40.0,6.0,53.0,0.0,0.0,-0.13255643844604492,20.0
158,voqc,50.0,3.0,default/qubits/i_22_num_qubits_3,53.0,46.0,6.0,59.0,0.0,0.0,-0.10363364219665527,14.0
159,qfast,50.0,3.0,default/qubits/i_22_num_qubits_3,24.0,30.0,21.0,45.0,0.0,0.0,-0.4336204528808594,7.0
160,pyzx,50.0,3.0,default/qubits/i_22_num_qubits_3,26.0,22.0,6.0,32.0,0.0,0.0,-0.06180286407470703,13.0
161,default,50.0,3.0,default/qubits/i_23_num_qubits_3,62.0,41.0,18.0,80.0,0.0,0.0,-7.152557373046875e-07,11.0
162,tket,50.0,3.0,default/qubits/i_23_num_qubits_3,39.0,31.0,10.0,49.0,0.0,0.0,-0.05436086654663086,7.0
163,qiskit,50.0,3.0,default/qubits/i_23_num_qubits_3,62.0,41.0,18.0,80.0,0.0,0.0,-0.020056962966918945,11.0
164,tpar,50.0,3.0,default/qubits/i_23_num_qubits_3,67.0,48.0,10.0,77.0,0.0,0.0,-0.13665771484375,23.0
165,voqc,50.0,3.0,default/qubits/i_23_num_qubits_3,86.0,54.0,10.0,96.0,0.0,0.0,-0.1101076602935791,11.0
166,qfast,50.0,3.0,default/qubits/i_23_num_qubits_3,21.0,27.0,24.0,45.0,0.0,0.0,-1.0538747310638428,7.0
167,pyzx,50.0,3.0,default/qubits/i_23_num_qubits_3,36.0,33.0,8.0,44.0,0.0,0.0,-0.06623268127441406,16.0
168,default,50.0,3.0,default/qubits/i_24_num_qubits_3,59.0,49.0,13.0,72.0,0.0,0.0,-4.76837158203125e-07,16.0
