,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
91,default,50.0,4.0,default/tprob/i_13_t_pr_0.1,74.0,39.0,4.0,78.0,0.0,0.1,-9.5367431640625e-07,23.0
92,tket,50.0,4.0,default/tprob/i_13_t_pr_0.1,50.0,28.0,4.0,54.0,0.0,0.1,-0.058715105056762695,16.0
93,qiskit,50.0,4.0,default/tprob/i_13_t_pr_0.1,74.0,39.0,4.0,78.0,0.0,0.1,-0.02049088478088379,23.0
94,tpar,50.0,4.0,default/tprob/i_13_t_pr_0.1,83.0,58.0,4.0,87.0,0.0,0.1,-0.07765698432922363,41.0
95,voqc,50.0,4.0,default/tprob/i_13_t_pr_0.1,113.0,60.0,4.0,117.0,0.0,0.1,-0.1183476448059082,23.0
96,qfast,50.0,4.0,default/tprob/i_13_t_pr_0.1,39.0,61.0,55.0,94.0,0.0,0.1,-9.159948348999023,13.0
97,pyzx,50.0,4.0,default/tprob/i_13_t_pr_0.1,32.0,24.0,4.0,36.0,0.0,0.1,-0.125258207321167,14.0
98,default,50.0,4.0,default/tprob/i_14_t_pr_0.1,65.0,43.0,5.0,70.0,0.0,0.1,-7.152557373046875e-07,24.0
99,tket,50.0,4.0,default/tprob/i_14_t_pr_0.1,45.0,34.0,5.0,50.0,0.0,0.1,-0.05685782432556152,16.0
100,qiskit,50.0,4.0,default/tprob/i_14_t_pr_0.1,63.0,43.0,5.0,68.0,0.0,0.1,-0.02542591094970703,22.0
101,tpar,50.0,4.0,default/tprob/i_14_t_pr_0.1,81.0,59.0,5.0,86.0,0.0,0.1,-0.08509302139282227,49.0
102,voqc,50.0,4.0,default/tprob/i_14_t_pr_0.1,78.0,54.0,5.0,83.0,0.0,0.1,-0.11359477043151855,22.0
103,qfast,50.0,4.0,default/tprob/i_14_t_pr_0.1,57.0,73.0,75.0,132.0,0.0,0.1,-21.63570547103882,19.0
104,pyzx,50.0,4.0,default/tprob/i_14_t_pr_0.1,45.0,30.0,5.0,50.0,0.0,0.1,-0.06552863121032715,21.0
105,default,50.0,4.0,default/tprob/i_15_t_pr_0.1,71.0,40.0,5.0,76.0,0.0,0.1,-7.152557373046875e-07,19.0
106,tket,50.0,4.0,default/tprob/i_15_t_pr_0.1,48.0,27.0,7.0,55.0,0.0,0.1,-0.05639195442199707,9.0
107,qiskit,50.0,4.0,default/tprob/i_15_t_pr_0.1,71.0,40.0,5.0,76.0,0.0,0.1,-0.018934965133666992,19.0
108,tpar,50.0,4.0,default/tprob/i_15_t_pr_0.1,92.0,67.0,3.0,95.0,0.0,0.1,-0.08076930046081543,46.0
109,voqc,50.0,4.0,default/tprob/i_15_t_pr_0.1,102.0,59.0,3.0,105.0,0.0,0.1,-0.11271119117736816,17.0
110,qfast,50.0,4.0,default/tprob/i_15_t_pr_0.1,42.0,63.0,56.0,98.0,0.0,0.1,-9.384564399719238,14.0
111,pyzx,50.0,4.0,default/tprob/i_15_t_pr_0.1,35.0,28.0,3.0,38.0,0.0,0.1,-0.06593680381774902,19.0
112,default,50.0,4.0,default/tprob/i_16_t_pr_0.1,63.0,43.0,5.0,68.0,0.0,0.1,-7.152557373046875e-07,17.0
113,tket,50.0,4.0,default/tprob/i_16_t_pr_0.1,42.0,34.0,3.0,45.0,0.0,0.1,-0.05172133445739746,9.0
114,qiskit,50.0,4.0,default/tprob/i_16_t_pr_0.1,59.0,39.0,5.0,64.0,0.0,0.1,-0.019917011260986328,13.0
115,tpar,50.0,4.0,default/tprob/i_16_t_pr_0.1,79.0,62.0,3.0,82.0,0.0,0.1,-0.07790160179138184,50.0
116,voqc,50.0,4.0,default/tprob/i_16_t_pr_0.1,54.0,40.0,3.0,57.0,0.0,0.1,-0.10248541831970215,13.0
117,qfast,50.0,4.0,default/tprob/i_16_t_pr_0.1,54.0,79.0,72.0,126.0,0.0,0.1,-19.987282037734985,18.0
118,pyzx,50.0,4.0,default/tprob/i_16_t_pr_0.1,31.0,23.0,3.0,34.0,0.0,0.1,-0.05975532531738281,14.0
119,default,50.0,4.0,default/tprob/i_17_t_pr_0.1,77.0,30.0,5.0,82.0,0.0,0.1,-4.76837158203125e-07,12.0
120,tket,50.0,4.0,default/tprob/i_17_t_pr_0.1,60.0,29.0,9.0,69.0,0.0,0.1,-0.05364179611206055,10.0
121,qiskit,50.0,4.0,default/tprob/i_17_t_pr_0.1,77.0,30.0,5.0,82.0,0.0,0.1,-0.01966071128845215,12.0
122,tpar,50.0,4.0,default/tprob/i_17_t_pr_0.1,80.0,43.0,5.0,85.0,0.0,0.1,-0.07492208480834961,27.0
123,voqc,50.0,4.0,default/tprob/i_17_t_pr_0.1,87.0,38.0,5.0,92.0,0.0,0.1,-0.11006498336791992,12.0
124,qfast,50.0,4.0,default/tprob/i_17_t_pr_0.1,48.0,62.0,66.0,114.0,0.0,0.1,-9.786898851394653,16.0
125,pyzx,50.0,4.0,default/tprob/i_17_t_pr_0.1,48.0,40.0,5.0,53.0,0.0,0.1,-0.06841921806335449,27.0
126,default,50.0,4.0,default/tprob/i_18_t_pr_0.1,72.0,35.0,6.0,78.0,0.0,0.1,-4.76837158203125e-07,19.0
127,tket,50.0,4.0,default/tprob/i_18_t_pr_0.1,60.0,31.0,4.0,64.0,0.0,0.1,-0.05562591552734375,12.0
128,qiskit,50.0,4.0,default/tprob/i_18_t_pr_0.1,70.0,34.0,6.0,76.0,0.0,0.1,-0.019090890884399414,17.0
129,tpar,50.0,4.0,default/tprob/i_18_t_pr_0.1,87.0,49.0,4.0,91.0,0.0,0.1,-0.08012151718139648,37.0
130,voqc,50.0,4.0,default/tprob/i_18_t_pr_0.1,92.0,46.0,4.0,96.0,0.0,0.1,-0.11178469657897949,17.0
131,qfast,50.0,4.0,default/tprob/i_18_t_pr_0.1,39.0,58.0,53.0,92.0,0.0,0.1,-6.779804706573486,13.0
132,pyzx,50.0,4.0,default/tprob/i_18_t_pr_0.1,33.0,25.0,4.0,37.0,0.0,0.1,-0.06351494789123535,16.0
133,default,50.0,4.0,default/tprob/i_19_t_pr_0.1,73.0,33.0,5.0,78.0,0.0,0.1,-7.152557373046875e-07,17.0
134,tket,50.0,4.0,default/tprob/i_19_t_pr_0.1,54.0,32.0,5.0,59.0,0.0,0.1,-0.05582690238952637,12.0
135,qiskit,50.0,4.0,default/tprob/i_19_t_pr_0.1,71.0,31.0,5.0,76.0,0.0,0.1,-0.02349996566772461,15.0
136,tpar,50.0,4.0,default/tprob/i_19_t_pr_0.1,81.0,55.0,5.0,86.0,0.0,0.1,-0.07954978942871094,35.0
137,voqc,50.0,4.0,default/tprob/i_19_t_pr_0.1,91.0,44.0,5.0,96.0,0.0,0.1,-0.11576080322265625,15.0
138,qfast,50.0,4.0,default/tprob/i_19_t_pr_0.1,57.0,82.0,77.0,134.0,0.0,0.1,-10.765413045883179,19.0
