,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,time_diff[s],two_qubit_count
101,tpar,50.0,3.0,qubits/i_14_num_qubits_3,67.0,50.0,11.0,78.0,-0.07322287559509277,27.0
102,voqc,50.0,3.0,qubits/i_14_num_qubits_3,82.0,51.0,11.0,93.0,-0.10734724998474121,8.0
103,qfast,50.0,3.0,qubits/i_14_num_qubits_3,30.0,42.0,33.0,63.0,-2.219660520553589,10.0
104,pyzx,50.0,3.0,qubits/i_14_num_qubits_3,35.0,35.0,11.0,46.0,-0.06252884864807129,14.0
105,default,50.0,3.0,qubits/i_15_num_qubits_3,71.0,45.0,9.0,80.0,-4.76837158203125e-07,15.0
106,tket,50.0,3.0,qubits/i_15_num_qubits_3,52.0,30.0,5.0,57.0,-0.0544130802154541,9.0
107,qiskit,50.0,3.0,qubits/i_15_num_qubits_3,69.0,43.0,9.0,78.0,-0.018723249435424805,13.0
108,tpar,50.0,3.0,qubits/i_15_num_qubits_3,64.0,38.0,5.0,69.0,-0.07100772857666016,15.0
109,voqc,50.0,3.0,qubits/i_15_num_qubits_3,104.0,67.0,5.0,109.0,-0.11269664764404297,11.0
110,qfast,50.0,3.0,qubits/i_15_num_qubits_3,21.0,27.0,24.0,45.0,-0.3011815547943115,7.0
111,pyzx,50.0,3.0,qubits/i_15_num_qubits_3,34.0,29.0,5.0,39.0,-0.06159543991088867,14.0
112,default,50.0,3.0,qubits/i_16_num_qubits_3,61.0,46.0,13.0,74.0,-4.76837158203125e-07,14.0
113,tket,50.0,3.0,qubits/i_16_num_qubits_3,25.0,19.0,5.0,30.0,-0.050721168518066406,4.0
114,qiskit,50.0,3.0,qubits/i_16_num_qubits_3,61.0,46.0,13.0,74.0,-0.018091917037963867,14.0
115,tpar,50.0,3.0,qubits/i_16_num_qubits_3,64.0,47.0,7.0,71.0,-0.0720977783203125,24.0
116,voqc,50.0,3.0,qubits/i_16_num_qubits_3,59.0,44.0,7.0,66.0,-0.10193991661071777,10.0
117,qfast,50.0,3.0,qubits/i_16_num_qubits_3,13.0,18.0,14.0,27.0,-0.19505786895751953,4.0
118,pyzx,50.0,3.0,qubits/i_16_num_qubits_3,22.0,22.0,5.0,27.0,-0.05883932113647461,8.0
119,default,50.0,3.0,qubits/i_17_num_qubits_3,61.0,42.0,13.0,74.0,-4.76837158203125e-07,14.0
120,tket,50.0,3.0,qubits/i_17_num_qubits_3,26.0,16.0,5.0,31.0,-0.04885983467102051,4.0
121,qiskit,50.0,3.0,qubits/i_17_num_qubits_3,57.0,37.0,13.0,70.0,-0.017623186111450195,10.0
122,tpar,50.0,3.0,qubits/i_17_num_qubits_3,46.0,41.0,5.0,51.0,-0.06697916984558105,14.0
123,voqc,50.0,3.0,qubits/i_17_num_qubits_3,80.0,45.0,5.0,85.0,-0.10440182685852051,10.0
124,qfast,50.0,3.0,qubits/i_17_num_qubits_3,18.0,25.0,21.0,39.0,-0.6775636672973633,6.0
125,pyzx,50.0,3.0,qubits/i_17_num_qubits_3,20.0,18.0,5.0,25.0,-0.05527162551879883,4.0
126,default,50.0,3.0,qubits/i_18_num_qubits_3,60.0,40.0,12.0,72.0,-4.76837158203125e-07,12.0
127,tket,50.0,3.0,qubits/i_18_num_qubits_3,43.0,30.0,4.0,47.0,-0.05189967155456543,7.0
128,qiskit,50.0,3.0,qubits/i_18_num_qubits_3,60.0,40.0,12.0,72.0,-0.016992807388305664,12.0
129,tpar,50.0,3.0,qubits/i_18_num_qubits_3,59.0,47.0,4.0,63.0,-0.06974077224731445,23.0
130,voqc,50.0,3.0,qubits/i_18_num_qubits_3,55.0,42.0,4.0,59.0,-0.10058784484863281,10.0
131,qfast,50.0,3.0,qubits/i_18_num_qubits_3,21.0,30.0,24.0,45.0,-0.6837131977081299,7.0
132,pyzx,50.0,3.0,qubits/i_18_num_qubits_3,23.0,19.0,4.0,27.0,-0.056681156158447266,11.0
