,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
96,qfast,50.0,4.0,default/tprob/i_13_t_pr_0.1,47.0,61.0,47.0,94.0,0.0,0.1,-0.05155324935913086,13.0
97,pyzx,50.0,4.0,default/tprob/i_13_t_pr_0.1,50.0,33.0,4.0,54.0,0.0,0.1,-0.04191112518310547,14.0
98,default,50.0,4.0,default/tprob/i_14_t_pr_0.1,65.0,43.0,5.0,70.0,0.0,0.1,-0.10446381568908691,24.0
99,tket,50.0,4.0,default/tprob/i_14_t_pr_0.1,45.0,34.0,5.0,50.0,0.0,0.1,-0.043172597885131836,16.0
100,qiskit,50.0,4.0,default/tprob/i_14_t_pr_0.1,63.0,43.0,5.0,68.0,0.0,0.1,-0.04545927047729492,22.0
101,tpar,50.0,4.0,default/tprob/i_14_t_pr_0.1,81.0,59.0,5.0,86.0,0.0,0.1,-0.04775094985961914,49.0
102,voqc,50.0,4.0,default/tprob/i_14_t_pr_0.1,78.0,54.0,5.0,83.0,0.0,0.1,-0.04629063606262207,22.0
103,qfast,50.0,4.0,default/tprob/i_14_t_pr_0.1,68.0,73.0,64.0,132.0,0.0,0.1,-0.05723261833190918,19.0
104,pyzx,50.0,4.0,default/tprob/i_14_t_pr_0.1,75.0,46.0,5.0,80.0,0.0,0.1,-0.044033050537109375,21.0
105,default,50.0,4.0,default/tprob/i_15_t_pr_0.1,71.0,40.0,5.0,76.0,0.0,0.1,-0.04511094093322754,19.0
106,tket,50.0,4.0,default/tprob/i_15_t_pr_0.1,48.0,27.0,7.0,55.0,0.0,0.1,-0.04360032081604004,9.0
107,qiskit,50.0,4.0,default/tprob/i_15_t_pr_0.1,71.0,40.0,5.0,76.0,0.0,0.1,-0.0452730655670166,19.0
108,tpar,50.0,4.0,default/tprob/i_15_t_pr_0.1,92.0,67.0,3.0,95.0,0.0,0.1,-0.04891014099121094,46.0
109,voqc,50.0,4.0,default/tprob/i_15_t_pr_0.1,102.0,59.0,3.0,105.0,0.0,0.1,-0.047933340072631836,17.0
110,qfast,50.0,4.0,default/tprob/i_15_t_pr_0.1,46.0,61.0,50.0,96.0,0.0,0.1,-0.05248212814331055,14.0
111,pyzx,50.0,4.0,default/tprob/i_15_t_pr_0.1,65.0,42.0,3.0,68.0,0.0,0.1,-0.09983444213867188,19.0
112,default,50.0,4.0,default/tprob/i_16_t_pr_0.1,63.0,43.0,5.0,68.0,0.0,0.1,-0.044954538345336914,17.0
113,tket,50.0,4.0,default/tprob/i_16_t_pr_0.1,42.0,34.0,3.0,45.0,0.0,0.1,-0.04249978065490723,9.0
114,qiskit,50.0,4.0,default/tprob/i_16_t_pr_0.1,59.0,39.0,5.0,64.0,0.0,0.1,-0.10251688957214355,13.0
115,tpar,50.0,4.0,default/tprob/i_16_t_pr_0.1,79.0,62.0,3.0,82.0,0.0,0.1,-0.04848980903625488,50.0
116,voqc,50.0,4.0,default/tprob/i_16_t_pr_0.1,54.0,40.0,3.0,57.0,0.0,0.1,-0.044237613677978516,13.0
117,qfast,50.0,4.0,default/tprob/i_16_t_pr_0.1,61.0,79.0,64.0,125.0,0.0,0.1,-0.05581855773925781,18.0
118,pyzx,50.0,4.0,default/tprob/i_16_t_pr_0.1,53.0,31.0,3.0,56.0,0.0,0.1,-0.042199134826660156,14.0
119,default,50.0,4.0,default/tprob/i_17_t_pr_0.1,77.0,30.0,5.0,82.0,0.0,0.1,-0.045513153076171875,12.0
120,tket,50.0,4.0,default/tprob/i_17_t_pr_0.1,60.0,29.0,9.0,69.0,0.0,0.1,-0.0445709228515625,10.0
121,qiskit,50.0,4.0,default/tprob/i_17_t_pr_0.1,77.0,30.0,5.0,82.0,0.0,0.1,-0.045432090759277344,12.0
122,tpar,50.0,4.0,default/tprob/i_17_t_pr_0.1,80.0,43.0,5.0,85.0,0.0,0.1,-0.04719996452331543,27.0
123,voqc,50.0,4.0,default/tprob/i_17_t_pr_0.1,87.0,38.0,5.0,92.0,0.0,0.1,-0.04627227783203125,12.0
124,qfast,50.0,4.0,default/tprob/i_17_t_pr_0.1,53.0,62.0,61.0,114.0,0.0,0.1,-0.05452251434326172,16.0
125,pyzx,50.0,4.0,default/tprob/i_17_t_pr_0.1,82.0,57.0,5.0,87.0,0.0,0.1,-0.04397773742675781,27.0
126,default,50.0,4.0,default/tprob/i_18_t_pr_0.1,72.0,35.0,6.0,78.0,0.0,0.1,-0.04561257362365723,19.0
127,tket,50.0,4.0,default/tprob/i_18_t_pr_0.1,60.0,31.0,4.0,64.0,0.0,0.1,-0.044130802154541016,12.0
128,qiskit,50.0,4.0,default/tprob/i_18_t_pr_0.1,70.0,34.0,6.0,76.0,0.0,0.1,-0.04539656639099121,17.0
129,tpar,50.0,4.0,default/tprob/i_18_t_pr_0.1,87.0,49.0,4.0,91.0,0.0,0.1,-0.04744887351989746,37.0
130,voqc,50.0,4.0,default/tprob/i_18_t_pr_0.1,92.0,46.0,4.0,96.0,0.0,0.1,-0.10607671737670898,17.0
131,qfast,50.0,4.0,default/tprob/i_18_t_pr_0.1,45.0,58.0,46.0,91.0,0.0,0.1,-0.05172610282897949,13.0
132,pyzx,50.0,4.0,default/tprob/i_18_t_pr_0.1,53.0,34.0,4.0,57.0,0.0,0.1,-0.042051076889038086,16.0
133,default,50.0,4.0,default/tprob/i_19_t_pr_0.1,73.0,33.0,5.0,78.0,0.0,0.1,-0.10430788993835449,17.0
134,tket,50.0,4.0,default/tprob/i_19_t_pr_0.1,54.0,32.0,5.0,59.0,0.0,0.1,-0.04372429847717285,12.0
135,qiskit,50.0,4.0,default/tprob/i_19_t_pr_0.1,71.0,31.0,5.0,76.0,0.0,0.1,-0.04532814025878906,15.0
136,tpar,50.0,4.0,default/tprob/i_19_t_pr_0.1,81.0,55.0,5.0,86.0,0.0,0.1,-0.047275543212890625,35.0
137,voqc,50.0,4.0,default/tprob/i_19_t_pr_0.1,91.0,44.0,5.0,96.0,0.0,0.1,-0.04763388633728027,15.0
138,qfast,50.0,4.0,default/tprob/i_19_t_pr_0.1,62.0,82.0,72.0,134.0,0.0,0.1,-0.057566165924072266,19.0
139,pyzx,50.0,4.0,default/tprob/i_19_t_pr_0.1,82.0,52.0,3.0,85.0,0.0,0.1,-0.043570518493652344,19.0
140,default,50.0,4.0,default/tprob/i_20_t_pr_0.1,75.0,37.0,7.0,82.0,0.0,0.1,-0.04596233367919922,16.0
141,tket,50.0,4.0,default/tprob/i_20_t_pr_0.1,46.0,26.0,6.0,52.0,0.0,0.1,-0.04393577575683594,11.0
142,qiskit,50.0,4.0,default/tprob/i_20_t_pr_0.1,73.0,35.0,7.0,80.0,0.0,0.1,-0.04591560363769531,14.0
143,tpar,50.0,4.0,default/tprob/i_20_t_pr_0.1,107.0,67.0,5.0,112.0,0.0,0.1,-0.05022382736206055,57.0
144,voqc,50.0,4.0,default/tprob/i_20_t_pr_0.1,104.0,54.0,5.0,109.0,0.0,0.1,-0.04847455024719238,14.0
145,qfast,50.0,4.0,default/tprob/i_20_t_pr_0.1,49.0,66.0,57.0,106.0,0.0,0.1,-0.052956342697143555,15.0
146,pyzx,50.0,4.0,default/tprob/i_20_t_pr_0.1,79.0,52.0,5.0,84.0,0.0,0.1,-0.04406571388244629,26.0
147,default,50.0,4.0,default/tprob/i_21_t_pr_0.1,77.0,38.0,5.0,82.0,0.0,0.1,-0.04596734046936035,18.0
148,tket,50.0,4.0,default/tprob/i_21_t_pr_0.1,60.0,33.0,3.0,63.0,0.0,0.1,-0.04409503936767578,11.0
149,qiskit,50.0,4.0,default/tprob/i_21_t_pr_0.1,73.0,34.0,5.0,78.0,0.0,0.1,-0.04551553726196289,14.0
150,tpar,50.0,4.0,default/tprob/i_21_t_pr_0.1,68.0,36.0,3.0,71.0,0.0,0.1,-0.04523205757141113,19.0
151,voqc,50.0,4.0,default/tprob/i_21_t_pr_0.1,112.0,58.0,3.0,115.0,0.0,0.1,-0.04915022850036621,14.0
152,qfast,50.0,4.0,default/tprob/i_21_t_pr_0.1,52.0,49.0,40.0,92.0,0.0,0.1,-0.05162858963012695,13.0
153,pyzx,50.0,4.0,default/tprob/i_21_t_pr_0.1,66.0,46.0,3.0,69.0,0.0,0.1,-0.04332423210144043,21.0
154,default,50.0,4.0,default/tprob/i_22_t_pr_0.1,74.0,48.0,4.0,78.0,0.0,0.1,-0.045435428619384766,16.0
155,tket,50.0,4.0,default/tprob/i_22_t_pr_0.1,66.0,43.0,2.0,68.0,0.0,0.1,-0.04469585418701172,12.0
156,qiskit,50.0,4.0,default/tprob/i_22_t_pr_0.1,72.0,45.0,4.0,76.0,0.0,0.1,-0.04507899284362793,14.0
157,tpar,50.0,4.0,default/tprob/i_22_t_pr_0.1,88.0,62.0,2.0,90.0,0.0,0.1,-0.04771280288696289,38.0
158,voqc,50.0,4.0,default/tprob/i_22_t_pr_0.1,100.0,66.0,2.0,102.0,0.0,0.1,-0.10366058349609375,14.0
159,qfast,50.0,4.0,default/tprob/i_22_t_pr_0.1,59.0,68.0,64.0,123.0,0.0,0.1,-0.05600762367248535,18.0
160,pyzx,50.0,4.0,default/tprob/i_22_t_pr_0.1,54.0,33.0,2.0,56.0,0.0,0.1,-0.0423588752746582,13.0
161,default,50.0,4.0,default/tprob/i_23_t_pr_0.1,77.0,40.0,5.0,82.0,0.0,0.1,-0.10447549819946289,15.0
162,tket,50.0,4.0,default/tprob/i_23_t_pr_0.1,36.0,24.0,3.0,39.0,0.0,0.1,-0.0421597957611084,12.0
163,qiskit,50.0,4.0,default/tprob/i_23_t_pr_0.1,77.0,40.0,5.0,82.0,0.0,0.1,-0.0459589958190918,15.0
164,tpar,50.0,4.0,default/tprob/i_23_t_pr_0.1,73.0,53.0,5.0,78.0,0.0,0.1,-0.0463871955871582,33.0
165,voqc,50.0,4.0,default/tprob/i_23_t_pr_0.1,111.0,59.0,5.0,116.0,0.0,0.1,-0.049093008041381836,15.0
166,qfast,50.0,4.0,default/tprob/i_23_t_pr_0.1,64.0,82.0,78.0,142.0,0.0,0.1,-0.05839681625366211,20.0
167,pyzx,50.0,4.0,default/tprob/i_23_t_pr_0.1,74.0,48.0,3.0,77.0,0.0,0.1,-0.043317556381225586,21.0
168,default,50.0,4.0,default/tprob/i_24_t_pr_0.1,73.0,40.0,5.0,78.0,0.0,0.1,-0.04556083679199219,18.0
169,tket,50.0,4.0,default/tprob/i_24_t_pr_0.1,52.0,34.0,3.0,55.0,0.0,0.1,-0.04397320747375488,14.0
170,qiskit,50.0,4.0,default/tprob/i_24_t_pr_0.1,71.0,37.0,5.0,76.0,0.0,0.1,-0.04543733596801758,16.0
171,tpar,50.0,4.0,default/tprob/i_24_t_pr_0.1,67.0,41.0,3.0,70.0,0.0,0.1,-0.045287370681762695,29.0
172,voqc,50.0,4.0,default/tprob/i_24_t_pr_0.1,105.0,57.0,3.0,108.0,0.0,0.1,-0.04780459403991699,16.0
173,qfast,50.0,4.0,default/tprob/i_24_t_pr_0.1,45.0,53.0,49.0,94.0,0.0,0.1,-0.05219435691833496,13.0
174,pyzx,50.0,4.0,default/tprob/i_24_t_pr_0.1,55.0,40.0,3.0,58.0,0.0,0.1,-0.04208874702453613,17.0
175,default,50.0,4.0,default/tprob/i_25_t_pr_0.1,68.0,37.0,6.0,74.0,0.0,0.1,-0.045433998107910156,15.0
176,tket,50.0,4.0,default/tprob/i_25_t_pr_0.1,26.0,13.0,4.0,30.0,0.0,0.1,-0.04118537902832031,4.0
177,qiskit,50.0,4.0,default/tprob/i_25_t_pr_0.1,64.0,30.0,6.0,70.0,0.0,0.1,-0.10210943222045898,11.0
178,tpar,50.0,4.0,default/tprob/i_25_t_pr_0.1,50.0,29.0,4.0,54.0,0.0,0.1,-0.04392409324645996,15.0
179,voqc,50.0,4.0,default/tprob/i_25_t_pr_0.1,61.0,34.0,4.0,65.0,0.0,0.1,-0.04492473602294922,9.0
180,qfast,50.0,4.0,default/tprob/i_25_t_pr_0.1,65.0,73.0,63.0,128.0,0.0,0.1,-0.056981563568115234,19.0
181,pyzx,50.0,4.0,default/tprob/i_25_t_pr_0.1,35.0,18.0,4.0,39.0,0.0,0.1,-0.04152870178222656,12.0
182,default,50.0,4.0,default/tprob/i_26_t_pr_0.1,85.0,42.0,3.0,88.0,0.0,0.1,-0.04671740531921387,19.0
183,tket,50.0,4.0,default/tprob/i_26_t_pr_0.1,44.0,30.0,1.0,45.0,0.0,0.1,-0.04225802421569824,13.0
184,qiskit,50.0,4.0,default/tprob/i_26_t_pr_0.1,81.0,42.0,3.0,84.0,0.0,0.1,-0.04566359519958496,15.0
185,tpar,50.0,4.0,default/tprob/i_26_t_pr_0.1,66.0,39.0,1.0,67.0,0.0,0.1,-0.04512524604797363,23.0
186,voqc,50.0,4.0,default/tprob/i_26_t_pr_0.1,105.0,61.0,1.0,106.0,0.0,0.1,-0.04803919792175293,15.0
187,qfast,50.0,4.0,default/tprob/i_26_t_pr_0.1,43.0,45.0,43.0,86.0,0.0,0.1,-0.10805988311767578,12.0
188,pyzx,50.0,4.0,default/tprob/i_26_t_pr_0.1,57.0,41.0,1.0,58.0,0.0,0.1,-0.04264974594116211,21.0
189,default,50.0,4.0,default/tprob/i_27_t_pr_0.1,63.0,36.0,11.0,74.0,0.0,0.1,-0.04472708702087402,12.0
190,tket,50.0,4.0,default/tprob/i_27_t_pr_0.1,42.0,26.0,7.0,49.0,0.0,0.1,-0.042469024658203125,11.0
191,qiskit,50.0,4.0,default/tprob/i_27_t_pr_0.1,63.0,36.0,11.0,74.0,0.0,0.1,-0.0456087589263916,12.0
192,tpar,50.0,4.0,default/tprob/i_27_t_pr_0.1,79.0,63.0,7.0,86.0,0.0,0.1,-0.04822564125061035,45.0
