,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
120,tket,50.0,4.0,default/gate_count/i_17_cnt_50,59.0,32.0,5.0,64.0,0.0,0.0,-0.04418158531188965,14.0
121,qiskit,50.0,4.0,default/gate_count/i_17_cnt_50,67.0,35.0,11.0,78.0,0.0,0.0,-0.045262813568115234,14.0
122,tpar,50.0,4.0,default/gate_count/i_17_cnt_50,92.0,54.0,5.0,97.0,0.0,0.0,-0.10635542869567871,43.0
123,voqc,50.0,4.0,default/gate_count/i_17_cnt_50,94.0,51.0,5.0,99.0,0.0,0.0,-0.04828643798828125,14.0
124,qfast,50.0,4.0,default/gate_count/i_17_cnt_50,57.0,65.0,61.0,118.0,0.0,0.0,-0.055619001388549805,17.0
125,pyzx,50.0,4.0,default/gate_count/i_17_cnt_50,60.0,33.0,5.0,65.0,0.0,0.0,-0.10023736953735352,13.0
126,default,50.0,4.0,default/gate_count/i_18_cnt_50,55.0,33.0,17.0,72.0,0.0,0.0,-0.04536628723144531,11.0
127,tket,50.0,4.0,default/gate_count/i_18_cnt_50,40.0,20.0,9.0,49.0,0.0,0.0,-0.04354238510131836,8.0
128,qiskit,50.0,4.0,default/gate_count/i_18_cnt_50,55.0,33.0,17.0,72.0,0.0,0.0,-0.09923982620239258,11.0
129,tpar,50.0,4.0,default/gate_count/i_18_cnt_50,80.0,46.0,9.0,89.0,0.0,0.0,-0.048345327377319336,40.0
130,voqc,50.0,4.0,default/gate_count/i_18_cnt_50,69.0,36.0,9.0,78.0,0.0,0.0,-0.04586338996887207,11.0
131,qfast,50.0,4.0,default/gate_count/i_18_cnt_50,39.0,53.0,41.0,80.0,0.0,0.0,-0.05018210411071777,11.0
132,pyzx,50.0,4.0,default/gate_count/i_18_cnt_50,50.0,35.0,7.0,57.0,0.0,0.0,-0.04239630699157715,16.0
133,default,50.0,4.0,default/gate_count/i_19_cnt_50,58.0,41.0,18.0,76.0,0.0,0.0,-0.04492473602294922,10.0
134,tket,50.0,4.0,default/gate_count/i_19_cnt_50,32.0,25.0,6.0,38.0,0.0,0.0,-0.04176902770996094,9.0
135,qiskit,50.0,4.0,default/gate_count/i_19_cnt_50,58.0,41.0,18.0,76.0,0.0,0.0,-0.04541826248168945,10.0
136,tpar,50.0,4.0,default/gate_count/i_19_cnt_50,52.0,38.0,8.0,60.0,0.0,0.0,-0.044881343841552734,20.0
137,voqc,50.0,4.0,default/gate_count/i_19_cnt_50,82.0,62.0,8.0,90.0,0.0,0.0,-0.04646182060241699,10.0
138,qfast,50.0,4.0,default/gate_count/i_19_cnt_50,73.0,85.0,83.0,156.0,0.0,0.0,-0.11462545394897461,22.0
139,pyzx,50.0,4.0,default/gate_count/i_19_cnt_50,75.0,48.0,6.0,81.0,0.0,0.0,-0.04366612434387207,20.0
140,default,50.0,4.0,default/gate_count/i_20_cnt_50,64.0,44.0,8.0,72.0,0.0,0.0,-0.04476809501647949,14.0
141,tket,50.0,4.0,default/gate_count/i_20_cnt_50,57.0,36.0,4.0,61.0,0.0,0.0,-0.04683876037597656,12.0
142,qiskit,50.0,4.0,default/gate_count/i_20_cnt_50,64.0,44.0,8.0,72.0,0.0,0.0,-0.044898271560668945,14.0
143,tpar,50.0,4.0,default/gate_count/i_20_cnt_50,94.0,66.0,4.0,98.0,0.0,0.0,-0.0493013858795166,48.0
144,voqc,50.0,4.0,default/gate_count/i_20_cnt_50,84.0,62.0,4.0,88.0,0.0,0.0,-0.10098695755004883,14.0
145,qfast,50.0,4.0,default/gate_count/i_20_cnt_50,36.0,36.0,35.0,71.0,0.0,0.0,-0.049088478088378906,10.0
146,pyzx,50.0,4.0,default/gate_count/i_20_cnt_50,58.0,49.0,4.0,62.0,0.0,0.0,-0.042789459228515625,18.0
147,default,50.0,4.0,default/gate_count/i_21_cnt_50,66.0,38.0,10.0,76.0,0.0,0.0,-0.09905672073364258,12.0
148,tket,50.0,4.0,default/gate_count/i_21_cnt_50,33.0,22.0,6.0,39.0,0.0,0.0,-0.041844844818115234,7.0
149,qiskit,50.0,4.0,default/gate_count/i_21_cnt_50,66.0,38.0,10.0,76.0,0.0,0.0,-0.04512953758239746,12.0
150,tpar,50.0,4.0,default/gate_count/i_21_cnt_50,64.0,43.0,6.0,70.0,0.0,0.0,-0.046003103256225586,34.0
151,voqc,50.0,4.0,default/gate_count/i_21_cnt_50,70.0,43.0,6.0,76.0,0.0,0.0,-0.04548788070678711,12.0
152,qfast,50.0,4.0,default/gate_count/i_21_cnt_50,69.0,79.0,62.0,131.0,0.0,0.0,-0.056763648986816406,19.0
153,pyzx,50.0,4.0,default/gate_count/i_21_cnt_50,64.0,44.0,6.0,70.0,0.0,0.0,-0.044068336486816406,20.0
154,default,50.0,4.0,default/gate_count/i_22_cnt_50,66.0,36.0,12.0,78.0,0.0,0.0,-0.045148372650146484,14.0
155,tket,50.0,4.0,default/gate_count/i_22_cnt_50,58.0,28.0,8.0,66.0,0.0,0.0,-0.04485177993774414,11.0
156,qiskit,50.0,4.0,default/gate_count/i_22_cnt_50,64.0,30.0,12.0,76.0,0.0,0.0,-0.04520845413208008,12.0
157,tpar,50.0,4.0,default/gate_count/i_22_cnt_50,76.0,54.0,8.0,84.0,0.0,0.0,-0.1039268970489502,39.0
158,voqc,50.0,4.0,default/gate_count/i_22_cnt_50,92.0,42.0,8.0,100.0,0.0,0.0,-0.047534942626953125,12.0
159,qfast,50.0,4.0,default/gate_count/i_22_cnt_50,83.0,114.0,95.0,178.0,0.0,0.0,-0.06435990333557129,25.0
160,pyzx,50.0,4.0,default/gate_count/i_22_cnt_50,92.0,62.0,8.0,100.0,0.0,0.0,-0.09998011589050293,24.0
161,default,50.0,4.0,default/gate_count/i_23_cnt_50,58.0,39.0,18.0,76.0,0.0,0.0,-0.04487919807434082,10.0
162,tket,50.0,4.0,default/gate_count/i_23_cnt_50,36.0,24.0,7.0,43.0,0.0,0.0,-0.04204130172729492,8.0
