,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
118,pyzx,50.0,4.0,default/cnot_pr/i_16_cnot_pr_0.1,22.0,13.0,7.0,29.0,0.1,0.0,-0.04083967208862305,2.0
119,default,50.0,4.0,default/cnot_pr/i_17_cnot_pr_0.1,70.0,28.0,12.0,82.0,0.1,0.0,-0.045001983642578125,6.0
120,tket,50.0,4.0,default/cnot_pr/i_17_cnot_pr_0.1,34.0,19.0,6.0,40.0,0.1,0.0,-0.04177427291870117,5.0
121,qiskit,50.0,4.0,default/cnot_pr/i_17_cnot_pr_0.1,70.0,28.0,12.0,82.0,0.1,0.0,-0.04514741897583008,6.0
122,tpar,50.0,4.0,default/cnot_pr/i_17_cnot_pr_0.1,68.0,36.0,6.0,74.0,0.1,0.0,-0.045453786849975586,22.0
123,voqc,50.0,4.0,default/cnot_pr/i_17_cnot_pr_0.1,70.0,35.0,6.0,76.0,0.1,0.0,-0.045316219329833984,6.0
124,qfast,50.0,4.0,default/cnot_pr/i_17_cnot_pr_0.1,26.0,44.0,31.0,57.0,0.1,0.0,-0.10428595542907715,8.0
125,pyzx,50.0,4.0,default/cnot_pr/i_17_cnot_pr_0.1,50.0,26.0,6.0,56.0,0.1,0.0,-0.04219985008239746,10.0
126,default,50.0,4.0,default/cnot_pr/i_18_cnot_pr_0.1,68.0,27.0,14.0,82.0,0.1,0.0,-0.04477262496948242,4.0
127,tket,50.0,4.0,default/cnot_pr/i_18_cnot_pr_0.1,25.0,12.0,4.0,29.0,0.1,0.0,-0.09933161735534668,3.0
128,qiskit,50.0,4.0,default/cnot_pr/i_18_cnot_pr_0.1,68.0,27.0,14.0,82.0,0.1,0.0,-0.045885562896728516,4.0
129,tpar,50.0,4.0,default/cnot_pr/i_18_cnot_pr_0.1,58.0,19.0,4.0,62.0,0.1,0.0,-0.04378390312194824,6.0
130,voqc,50.0,4.0,default/cnot_pr/i_18_cnot_pr_0.1,59.0,29.0,4.0,63.0,0.1,0.0,-0.043704986572265625,4.0
131,qfast,50.0,4.0,default/cnot_pr/i_18_cnot_pr_0.1,30.0,40.0,25.0,55.0,0.1,0.0,-0.04620766639709473,8.0
132,pyzx,50.0,4.0,default/cnot_pr/i_18_cnot_pr_0.1,42.0,24.0,4.0,46.0,0.1,0.0,-0.04224824905395508,11.0
133,default,50.0,4.0,default/cnot_pr/i_19_cnot_pr_0.1,69.0,33.0,17.0,86.0,0.1,0.0,-0.04525589942932129,6.0
134,tket,50.0,4.0,default/cnot_pr/i_19_cnot_pr_0.1,35.0,16.0,5.0,40.0,0.1,0.0,-0.04152250289916992,4.0
135,qiskit,50.0,4.0,default/cnot_pr/i_19_cnot_pr_0.1,67.0,27.0,17.0,84.0,0.1,0.0,-0.04550886154174805,4.0
136,tpar,50.0,4.0,default/cnot_pr/i_19_cnot_pr_0.1,53.0,28.0,7.0,60.0,0.1,0.0,-0.04404163360595703,12.0
137,voqc,50.0,4.0,default/cnot_pr/i_19_cnot_pr_0.1,49.0,22.0,7.0,56.0,0.1,0.0,-0.0438077449798584,4.0
138,qfast,50.0,4.0,default/cnot_pr/i_19_cnot_pr_0.1,42.0,40.0,41.0,83.0,0.1,0.0,-0.05033254623413086,12.0
139,pyzx,50.0,4.0,default/cnot_pr/i_19_cnot_pr_0.1,53.0,32.0,5.0,58.0,0.1,0.0,-0.042169809341430664,16.0
140,default,50.0,4.0,default/cnot_pr/i_20_cnot_pr_0.1,67.0,28.0,15.0,82.0,0.1,0.0,-0.10292458534240723,5.0
141,tket,50.0,4.0,default/cnot_pr/i_20_cnot_pr_0.1,30.0,16.0,14.0,44.0,0.1,0.0,-0.04223275184631348,5.0
142,qiskit,50.0,4.0,default/cnot_pr/i_20_cnot_pr_0.1,67.0,28.0,15.0,82.0,0.1,0.0,-0.04570150375366211,5.0
143,tpar,50.0,4.0,default/cnot_pr/i_20_cnot_pr_0.1,79.0,50.0,13.0,92.0,0.1,0.0,-0.047304630279541016,29.0
144,voqc,50.0,4.0,default/cnot_pr/i_20_cnot_pr_0.1,76.0,40.0,13.0,89.0,0.1,0.0,-0.04602551460266113,5.0
145,qfast,50.0,4.0,default/cnot_pr/i_20_cnot_pr_0.1,28.0,30.0,29.0,57.0,0.1,0.0,-0.04681229591369629,8.0
146,pyzx,50.0,4.0,default/cnot_pr/i_20_cnot_pr_0.1,54.0,34.0,13.0,67.0,0.1,0.0,-0.04310297966003418,17.0
147,default,50.0,4.0,default/cnot_pr/i_21_cnot_pr_0.1,74.0,30.0,16.0,90.0,0.1,0.0,-0.046010494232177734,5.0
148,tket,50.0,4.0,default/cnot_pr/i_21_cnot_pr_0.1,44.0,28.0,6.0,50.0,0.1,0.0,-0.0425877571105957,4.0
