,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
133,default,50.0,3.0,default/qubits/i_19_num_qubits_3,66.0,45.0,10.0,76.0,0.0,0.0,-0.045458316802978516,13.0
134,tket,50.0,3.0,default/qubits/i_19_num_qubits_3,52.0,40.0,8.0,60.0,0.0,0.0,-0.04370737075805664,10.0
135,qiskit,50.0,3.0,default/qubits/i_19_num_qubits_3,66.0,45.0,10.0,76.0,0.0,0.0,-0.04519295692443848,13.0
136,tpar,50.0,3.0,default/qubits/i_19_num_qubits_3,82.0,68.0,8.0,90.0,0.0,0.0,-0.047566890716552734,39.0
137,voqc,50.0,3.0,default/qubits/i_19_num_qubits_3,94.0,62.0,8.0,102.0,0.0,0.0,-0.10588693618774414,13.0
138,qfast,50.0,3.0,default/qubits/i_19_num_qubits_3,32.0,30.0,17.0,49.0,0.0,0.0,-0.04624676704406738,8.0
139,pyzx,50.0,3.0,default/qubits/i_19_num_qubits_3,64.0,45.0,8.0,72.0,0.0,0.0,-0.04376554489135742,19.0
140,default,50.0,3.0,default/qubits/i_20_num_qubits_3,61.0,39.0,11.0,72.0,0.0,0.0,-0.10347485542297363,14.0
141,tket,50.0,3.0,default/qubits/i_20_num_qubits_3,39.0,29.0,3.0,42.0,0.0,0.0,-0.04285883903503418,8.0
142,qiskit,50.0,3.0,default/qubits/i_20_num_qubits_3,61.0,39.0,11.0,72.0,0.0,0.0,-0.045436859130859375,14.0
143,tpar,50.0,3.0,default/qubits/i_20_num_qubits_3,59.0,42.0,3.0,62.0,0.0,0.0,-0.04482674598693848,19.0
144,voqc,50.0,3.0,default/qubits/i_20_num_qubits_3,90.0,57.0,3.0,93.0,0.0,0.0,-0.047097206115722656,14.0
145,qfast,50.0,3.0,default/qubits/i_20_num_qubits_3,27.0,34.0,22.0,49.0,0.0,0.0,-0.04513955116271973,8.0
146,pyzx,50.0,3.0,default/qubits/i_20_num_qubits_3,48.0,38.0,3.0,51.0,0.0,0.0,-0.04117012023925781,10.0
147,default,50.0,3.0,default/qubits/i_21_num_qubits_3,60.0,43.0,12.0,72.0,0.0,0.0,-0.05117297172546387,17.0
148,tket,50.0,3.0,default/qubits/i_21_num_qubits_3,42.0,32.0,11.0,53.0,0.0,0.0,-0.044603824615478516,9.0
149,qiskit,50.0,3.0,default/qubits/i_21_num_qubits_3,54.0,38.0,12.0,66.0,0.0,0.0,-0.044281721115112305,11.0
150,tpar,50.0,3.0,default/qubits/i_21_num_qubits_3,55.0,47.0,10.0,65.0,0.0,0.0,-0.1000823974609375,20.0
151,voqc,50.0,3.0,default/qubits/i_21_num_qubits_3,80.0,52.0,10.0,90.0,0.0,0.0,-0.046460628509521484,11.0
152,qfast,50.0,3.0,default/qubits/i_21_num_qubits_3,33.0,37.0,24.0,57.0,0.0,0.0,-0.04708147048950195,9.0
153,pyzx,50.0,3.0,default/qubits/i_21_num_qubits_3,60.0,48.0,8.0,68.0,0.0,0.0,-0.043495893478393555,16.0
154,default,50.0,3.0,default/qubits/i_22_num_qubits_3,50.0,44.0,14.0,64.0,0.0,0.0,-0.04565548896789551,18.0
155,tket,50.0,3.0,default/qubits/i_22_num_qubits_3,42.0,38.0,8.0,50.0,0.0,0.0,-0.04337644577026367,8.0
156,qiskit,50.0,3.0,default/qubits/i_22_num_qubits_3,46.0,41.0,14.0,60.0,0.0,0.0,-0.043675899505615234,14.0
157,tpar,50.0,3.0,default/qubits/i_22_num_qubits_3,47.0,40.0,6.0,53.0,0.0,0.0,-0.04384565353393555,20.0
158,voqc,50.0,3.0,default/qubits/i_22_num_qubits_3,53.0,46.0,6.0,59.0,0.0,0.0,-0.044382333755493164,14.0
159,qfast,50.0,3.0,default/qubits/i_22_num_qubits_3,27.0,30.0,17.0,44.0,0.0,0.0,-0.04492497444152832,7.0
160,pyzx,50.0,3.0,default/qubits/i_22_num_qubits_3,38.0,30.0,6.0,44.0,0.0,0.0,-0.041506052017211914,13.0
161,default,50.0,3.0,default/qubits/i_23_num_qubits_3,62.0,41.0,18.0,80.0,0.0,0.0,-0.045972585678100586,11.0
162,tket,50.0,3.0,default/qubits/i_23_num_qubits_3,39.0,31.0,10.0,49.0,0.0,0.0,-0.04323530197143555,7.0
163,qiskit,50.0,3.0,default/qubits/i_23_num_qubits_3,62.0,41.0,18.0,80.0,0.0,0.0,-0.04544806480407715,11.0
